year,year_range,place,group_by,group_by_value,student_count
2024,2024-25,WI,All Students,All Students,805881
2024,2024-25,WI,Disability,Autism,18580
2024,2024-25,WI,Disability,Blind and Visually Impaired,427
2024,2024-25,WI,Disability,Deaf or Hard of Hearing,1580
2024,2024-25,WI,Disability,Deafblind,18
2024,2024-25,WI,Disability,Emotional Behavioral Disability,8217
2024,2024-25,WI,Disability,Intellectual Disability,5785
2024,2024-25,WI,Disability,Not IDEA Eligible or No Disability,679047
2024,2024-25,WI,Disability,Orthopedic Impairment,635
2024,2024-25,WI,Disability,Other Health Impairment,27442
2024,2024-25,WI,Disability,Significant Developmental Delay,11119
2024,2024-25,WI,Disability,Specific Learning Disability,26080
2024,2024-25,WI,Disability,Speech or Language Impairment,26698
2024,2024-25,WI,Disability,Traumatic Brain Injury,249
2024,2024-25,WI,Disability,Unknown,4
2024,2024-25,WI,Disability Status,SwD,126830
2024,2024-25,WI,Disability Status,SwoD,679047
2024,2024-25,WI,Disability Status,Unknown,4
2024,2024-25,WI,Economic Status,Econ Disadv,325450
2024,2024-25,WI,Economic Status,Not Econ Disadv,480427
2024,2024-25,WI,Economic Status,Unknown,4
2024,2024-25,WI,EL Status,EL,55772
2024,2024-25,WI,EL Status,Eng Prof,750012
2024,2024-25,WI,EL Status,Unknown,97
2024,2024-25,WI,Gender,Female,389913
2024,2024-25,WI,Gender,Male,415495
2024,2024-25,WI,Gender,Non-binary,473
2024,2024-25,WI,Grade Level,1,52597
2024,2024-25,WI,Grade Level,10,63971
2024,2024-25,WI,Grade Level,11,64695
2024,2024-25,WI,Grade Level,12,67049
2024,2024-25,WI,Grade Level,2,54493
2024,2024-25,WI,Grade Level,3,55955
2024,2024-25,WI,Grade Level,4,56056
2024,2024-25,WI,Grade Level,5,56709
2024,2024-25,WI,Grade Level,6,56868
2024,2024-25,WI,Grade Level,7,57696
2024,2024-25,WI,Grade Level,8,58307
2024,2024-25,WI,Grade Level,9,63101
2024,2024-25,WI,Grade Level,K4,42720
2024,2024-25,WI,Grade Level,KG,50990
2024,2024-25,WI,Grade Level,PK,4674
2024,2024-25,WI,Migrant Status,Migrant,310
2024,2024-25,WI,Migrant Status,Not Migrant,805571
2024,2024-25,WI,Race/Ethnicity,Amer Indian,7992
2024,2024-25,WI,Race/Ethnicity,Asian,35055
2024,2024-25,WI,Race/Ethnicity,Black,70514
2024,2024-25,WI,Race/Ethnicity,Hispanic,116817
2024,2024-25,WI,Race/Ethnicity,Pacific Isle,640
2024,2024-25,WI,Race/Ethnicity,Two or More,44968
2024,2024-25,WI,Race/Ethnicity,Unknown,5
2024,2024-25,WI,Race/Ethnicity,White,529890
